U1000WaSW00,-1.02
V1000WaSW00,-5.40
T1000WaSW00,290.33
RH1000WaSW00,73.22
U975WaSW00,-1.00
V975WaSW00,-5.33
T975WaSW00,288.40
RH975WaSW00,79.08
U950WaSW00,-0.14
V950WaSW00,-3.73
T950WaSW00,287.09
RH950WaSW00,81.26
U925WaSW00,0.42
V925WaSW00,-0.76
T925WaSW00,286.17
RH925WaSW00,83.38
U900WaSW00,0.20
V900WaSW00,3.04
T900WaSW00,285.27
RH900WaSW00,82.14
U850WaSW00,3.07
V850WaSW00,6.44
T850WaSW00,282.68
RH850WaSW00,80.31
U800WaSW00,6.58
V800WaSW00,8.15
T800WaSW00,279.23
RH800WaSW00,76.47
U700WaSW00,11.57
V700WaSW00,7.37
T700WaSW00,273.27
RH700WaSW00,62.45
U600WaSW00,18.82
V600WaSW00,7.35
T600WaSW00,268.42
RH600WaSW00,42.18
U500WaSW00,21.20
V500WaSW00,8.14
T500WaSW00,258.86
RH500WaSW00,29.90
U1000WaSW01,0.85
V1000WaSW01,-5.89
T1000WaSW01,290.64
RH1000WaSW01,71.04
U975WaSW01,0.86
V975WaSW01,-5.83
T975WaSW01,288.63
RH975WaSW01,78.07
U950WaSW01,1.42
V950WaSW01,-4.26
T950WaSW01,287.02
RH950WaSW01,81.06
U925WaSW01,2.11
V925WaSW01,-0.15
T925WaSW01,286.41
RH925WaSW01,80.84
U900WaSW01,1.83
V900WaSW01,3.61
T900WaSW01,285.56
RH900WaSW01,80.75
U850WaSW01,1.21
V850WaSW01,6.72
T850WaSW01,283.10
RH850WaSW01,82.86
U800WaSW01,3.77
V800WaSW01,9.18
T800WaSW01,279.59
RH800WaSW01,82.94
U700WaSW01,10.82
V700WaSW01,7.81
T700WaSW01,272.35
RH700WaSW01,78.26
U600WaSW01,20.27
V600WaSW01,6.60
T600WaSW01,267.85
RH600WaSW01,45.23
U500WaSW01,19.06
V500WaSW01,7.29
T500WaSW01,258.36
RH500WaSW01,35.25
U1000WaSW02,0.58
V1000WaSW02,-6.11
T1000WaSW02,290.80
RH1000WaSW02,70.64
U975WaSW02,0.61
V975WaSW02,-6.05
T975WaSW02,288.76
RH975WaSW02,78.01
U950WaSW02,0.85
V950WaSW02,-5.48
T950WaSW02,286.86
RH950WaSW02,84.83
U925WaSW02,2.04
V925WaSW02,-1.61
T925WaSW02,286.08
RH925WaSW02,83.40
U900WaSW02,1.60
V900WaSW02,2.66
T900WaSW02,285.39
RH900WaSW02,83.44
U850WaSW02,1.17
V850WaSW02,6.89
T850WaSW02,282.95
RH850WaSW02,91.43
U800WaSW02,4.75
V800WaSW02,7.84
T800WaSW02,279.52
RH800WaSW02,84.02
U700WaSW02,14.41
V700WaSW02,8.61
T700WaSW02,272.96
RH700WaSW02,88.98
U600WaSW02,20.08
V600WaSW02,9.04
T600WaSW02,267.08
RH600WaSW02,57.75
U500WaSW02,18.87
V500WaSW02,8.29
T500WaSW02,257.90
RH500WaSW02,39.64
U1000WaSW03,0.43
V1000WaSW03,-5.16
T1000WaSW03,291.03
RH1000WaSW03,71.35
U975WaSW03,0.48
V975WaSW03,-5.08
T975WaSW03,288.99
RH975WaSW03,78.64
U950WaSW03,0.83
V950WaSW03,-4.40
T950WaSW03,287.15
RH950WaSW03,84.72
U925WaSW03,2.19
V925WaSW03,-0.73
T925WaSW03,286.28
RH925WaSW03,83.59
U900WaSW03,2.43
V900WaSW03,2.92
T900WaSW03,285.29
RH900WaSW03,86.93
U850WaSW03,4.34
V850WaSW03,5.95
T850WaSW03,282.66
RH850WaSW03,91.31
U800WaSW03,6.14
V800WaSW03,6.88
